"agencia"	"suba"	"direccion"	"reca_prom"	"nbi"	"avenida"	"escuelas"	"salud"	"supermercado"	"parada_bus"	"cantpersona"	"edad0a19"	"edad20a65"	"edad65mas"	"ocupado"	"desocupado"	"inactivo"	"Inicial"	"primario"	"egb"	"secundario"	"polimodal"	"superior"	"universitario"	"postuniversitario"	"especial"
586	0	JOSE NOVERI  125	380190.777777777778	16	0	0	0	0	0	738	159	461	63	367	15	204	27	160	35	218	18	52	164	5	6
453	0	INSPECTOR PATIÑO  59	568928.222222222222	16	1	1	0	1	0	738	159	461	63	367	15	204	27	160	35	218	18	52	164	5	6
492	0	Avenida EDISON 2525	1305767.222222222222	45	0	0	0	0	0	1516	419	843	117	664	62	376	62	490	85	475	52	69	136	10	14
571	0	AV. VELEZ SATFIELD  604	302234.846153846154	43	1	0	0	0	0	990	261	555	68	442	30	268	32	365	18	305	18	62	103	2	4
506	0	MZ. 3 - PC. 19 - CH. 193 (SAN FELIPE	576713.833333333333	99	0	0	1	0	0	1330	460	692	39	566	38	329	49	550	91	343	76	20	43	0	10
429	0	NICOLAS ROJAS ACOSTA  901	1326014.388888888889	17	1	1	0	0	0	870	223	502	61	426	29	203	29	264	46	308	21	55	68	3	3
597	2	PJE. VELEZ SARFIELD  1142	188836.833333333333	29	0	1	0	0	0	878	257	500	32	348	22	284	25	366	22	293	38	15	34	2	4
378	4	AV. PARAGUAY  2802 B°. GOLF CLUB	204198.833333333333	67	0	0	0	0	0	1473	464	771	52	644	27	369	54	553	54	482	22	42	91	7	10
404	2	Angel D´ambra 499 y Jilguero 3400	573609.555555555556	34	0	0	0	0	0	1431	380	840	66	682	62	356	49	487	38	463	68	73	133	5	5
378	8	EMILIO ROMAN  270 B°. GRAL. MITRE	565591.444444444444	7	0	0	0	0	0	729	164	436	75	384	16	185	19	211	33	207	14	47	141	0	3
248	0	PC 120 UF 01 - LOCAL 01 B.MUJERES ARGENT	1908619.944444444444	20	0	3	0	1	1	1330	338	831	43	638	85	321	42	408	27	528	13	77	126	3	4
145	3	BROWN 3986 - LA LIGURIA	908743.388888888889	23	0	0	0	0	0	1049	289	612	34	528	28	252	35	328	19	350	31	59	144	14	5
607	15	ING. SCHUR  68	144378.444444444444	28	1	0	0	1	1	1085	241	656	89	478	23	349	29	411	38	316	30	75	95	4	4
378	0	AV. 9 DE JULIO  2302	972631.000000000000	28	1	0	0	1	1	1085	241	656	89	478	23	349	29	411	38	316	30	75	95	4	4
56	1	AV. 9 DE JULIO  1966	576405.444444444444	28	1	1	0	1	0	1085	241	656	89	478	23	349	29	411	38	316	30	75	95	4	4
378	3	BOUVIER  17	413352.666666666667	14	1	0	0	1	0	946	193	597	83	449	32	294	29	218	64	260	41	73	193	10	3
378	12	COCOMAROLA 196	88253.700000000000	14	1	0	0	0	0	946	193	597	83	449	32	294	29	218	64	260	41	73	193	10	3
56	14	AV.9 DE JULIO 2600	279560.500000000000	14	1	0	0	0	0	946	193	597	83	449	32	294	29	218	64	260	41	73	193	10	3
56	17	AMEGHINO  1845	516472.444444444444	37	0	0	0	0	0	1144	264	671	118	569	23	324	39	426	35	367	39	53	85	4	6
255	20	AV. CHACO  3006 - VILLA DON ANDRÉS	425611.333333333333	10	1	0	0	0	0	681	137	415	79	310	27	215	27	151	23	243	13	59	117	3	3
678	0	AV. CHACO  399	743210.600000000000	10	1	0	0	0	0	681	137	415	79	310	27	215	27	151	23	243	13	59	117	3	3
56	8	AV.CHACO 399	380176.428571428571	10	1	0	0	0	0	681	137	415	79	310	27	215	27	151	23	243	13	59	117	3	3
607	9	CALLE FRANKLIN  2643	48535.222222222222	33	0	0	0	0	0	846	246	496	27	364	26	241	24	390	7	269	19	15	22	0	3
648	0	AV. URQUIZA  567	1298380.470588235294	33	0	1	0	0	0	846	246	496	27	364	26	241	24	390	7	269	19	15	22	0	3
468	2	AV. CASTELLI  2801	614778.428571428571	8	1	0	0	0	0	794	201	471	38	376	18	218	23	306	39	277	15	27	31	0	5
607	0	AV. CASTELLI  2315	652740.388888888889	2	1	0	1	1	1	579	126	338	55	286	9	153	20	173	76	184	12	35	38	1	5
607	3	FRANKLIN  1904	787390.166666666667	33	0	0	0	0	0	1145	284	657	62	563	22	284	34	490	39	364	24	34	52	0	10
159	7	AV.CASTELLI 1630	1102937.833333333333	29	1	4	0	0	0	626	132	391	53	345	26	139	26	186	15	231	8	42	80	3	8
630	1	AV. URQUIZA  1099	221283.000000000000	28	1	0	0	0	0	1014	232	630	51	472	31	277	28	386	27	298	35	44	112	0	4
607	10	AV. CASTELLI  2532	476684.833333333333	28	1	0	0	0	0	1014	232	630	51	472	31	277	28	386	27	298	35	44	112	0	4
607	5	LEANDRO N. ALEM  2840	1319026.388888888889	15	1	1	0	0	0	575	152	361	15	280	31	149	16	194	24	153	53	41	36	3	2
630	0	CASTELAN  1317	1288427.000000000000	28	0	0	0	0	0	1125	293	688	40	515	50	295	39	439	60	334	30	58	59	1	4
409	0	AV. URQUIZA  1266	1258859.722222222222	13	1	0	0	1	0	855	227	523	29	407	42	221	21	238	43	297	39	50	79	4	9
607	1	MARTIN GOITIA  930	391590.388888888889	29	0	0	0	0	0	817	218	485	25	373	17	221	26	358	9	275	10	29	33	0	5
607	6	CALLE 15 - INGENIERO SCHUR  1600	1210998.888888888889	38	1	1	0	2	0	936	278	535	42	393	24	295	34	386	29	285	16	34	47	0	7
145	0	AV. 9 DE JULIO 3195	1435171.111111111111	1	1	3	0	0	1	25	3	22	0	22	0	0	0	2	0	10	0	2	8	0	0
468	1	AV. CASTELLI  3289	389097.333333333333	1	1	0	0	0	0	25	3	22	0	22	0	0	0	2	0	10	0	2	8	0	0
378	6	AMEGHINO  2420I	306093.277777777778	76	0	0	0	0	0	1265	325	726	93	508	74	381	46	508	74	357	52	48	52	0	7
607	2	ING. SCHULZ 930	569212.444444444444	27	1	0	0	0	0	849	190	543	39	401	34	249	23	272	47	293	32	60	66	1	5
607	14	Av. Castelli  1976	439513.250000000000	27	1	0	0	0	0	849	190	543	39	401	34	249	23	272	47	293	32	60	66	1	5
607	7	AVENIDA URQUIZA  1450	489851.277777777778	14	1	0	0	1	0	917	234	585	28	474	21	241	25	268	51	309	25	79	88	1	7
607	12	ROGER BALET  1002	206206.833333333333	15	0	1	0	0	0	549	144	328	17	247	14	151	23	194	19	176	21	26	37	1	0
468	0	AV. CASTELLI  3140	923457.777777777778	15	1	0	0	0	0	549	144	328	17	247	14	151	23	194	19	176	21	26	37	1	0
676	0	FRONDIZI  182 - LOCAL 11 -GALERIA MARA	199477.857142857143	1	1	0	0	0	8	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
551	0	JUAN B. JUSTO  299	534327.666666666667	1	1	2	0	0	0	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
375	0	ARTURO FRONDIZI  007	1480012.166666666667	1	1	0	0	0	7	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
2	0	JOSE MARIA PAZ 108	429941.222222222222	1	1	2	0	0	1	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
679	0	AV. 9 JULIO  293	1166445.250000000000	1	1	2	0	1	2	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
247	0	AV. 9 DE JULIO  166	303476.666666666667	1	1	2	0	0	3	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
1	0	ARTURO ILLIA 421	144400.888888888889	11	1	4	0	1	4	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
159	0	ARBOL Y BLANCO 228	474750.333333333333	11	1	2	0	0	0	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
585	0	JUAN B. JUSTO  646	2166568.833333333333	11	1	3	0	0	0	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
653	1	AV. 9 DE JULIO  553	256958.666666666667	11	1	3	0	0	9	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
130	0	ARTURO ILLIA 486	471694.777777777778	11	1	5	0	1	4	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
545	0	AV. SAN MARTIN 91	511207.388888888889	11	1	2	0	0	6	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
194	8	AV.LAS HERAS 175	153236.611111111111	6	1	5	0	0	1	962	174	581	165	341	25	207	17	198	29	243	25	74	268	17	1
629	0	JUAN B. JUSTO  986	793323.666666666667	6	1	2	0	1	1	962	174	581	165	341	25	207	17	198	29	243	25	74	268	17	1
576	0	JUAN B. JUSTO 1433	447594.722222222222	8	1	0	0	0	0	586	97	388	56	307	17	165	17	88	16	191	14	52	179	5	2
56	16	AV. 9 DE JULIO  1401	136450.333333333333	8	1	0	0	2	0	586	97	388	56	307	17	165	17	88	16	191	14	52	179	5	2
56	0	AV. 9 DE JULIO 1633	1228009.777777777778	8	1	1	0	0	1	586	97	388	56	307	17	165	17	88	16	191	14	52	179	5	2
651	1	Lisandro de la Torre  425	42583.562500000000	16	0	0	0	0	1	497	87	363	29	264	16	166	8	49	9	119	9	47	229	5	2
651	0	LISANDRO DE LA TORRE  201	650302.500000000000	16	0	2	1	0	0	497	87	363	29	264	16	166	8	49	9	119	9	47	229	5	2
375	1	ARTURO ILLIA  363	207746.900000000000	11	0	8	0	1	0	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
73	0	OBLIGADO 283	789289.000000000000	11	0	8	0	0	3	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
2	5	Colon  320	320549.166666666667	11	1	8	0	0	4	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
2	4	Frondizi  249	452615.000000000000	11	1	2	0	0	1	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
2	3	Arturo Frondizi  369	50069.611111111111	11	1	3	0	0	5	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
233	0	AMEGUINO  45 (UF. 42)	632606.277777777778	11	1	3	0	0	6	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
490	0	AV. ALBERDI  441	361487.277777777778	11	1	3	0	0	6	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
580	0	COLON  701	666775.666666666667	24	1	5	0	0	0	755	116	502	102	383	25	254	12	88	21	180	18	91	300	20	2
612	0	LISANDRO DE LA TORRE  2040	1887329.833333333333	53	0	0	0	0	1	1015	275	579	71	408	28	318	49	361	17	316	39	34	90	3	6
352	11	FRANKLIN 736	739152.222222222222	53	1	0	0	0	1	1015	275	579	71	408	28	318	49	361	17	316	39	34	90	3	6
537	1	Lisandro de la Torre  2807	487356.285714285714	53	0	0	0	0	1	1015	275	579	71	408	28	318	49	361	17	316	39	34	90	3	6
352	16	AV.CASTELLI 1329	482941.666666666667	28	1	0	0	0	0	925	239	522	51	435	28	242	25	351	25	354	2	19	74	2	4
352	0	AV. SAN MARTIN 629	907969.277777777778	22	1	6	0	0	0	397	58	285	38	179	16	166	9	36	16	77	16	29	196	10	2
635	0	AV. ALBERDI  699	501349.444444444444	2	1	2	0	0	1	601	69	420	85	328	18	201	8	72	21	136	4	89	239	18	0
352	28	AV.CASTELLI 437	46239.888888888889	2	1	0	0	0	0	601	69	420	85	328	18	201	8	72	21	136	4	89	239	18	0
254	7	AMEGHINO  1327	350277.833333333333	10	0	1	0	0	0	789	129	532	79	437	27	222	21	146	20	187	18	90	270	7	4
194	0	AV. LAS HERAS 375 - local 2	476580.055555555556	6	1	4	0	0	0	634	99	466	38	334	18	204	15	35	26	121	9	64	300	38	4
254	0	A. ILLIA 1455	688056.277777777778	0	0	2	0	0	0	340	52	226	42	179	13	103	13	72	3	118	4	45	71	1	2
513	2	AV. LAS HERAS  1000	580098.625000000000	3	1	2	0	0	0	651	159	416	14	342	14	153	30	47	60	141	26	88	214	10	3
635	1	CARLOS DODERO  576	154765.500000000000	3	1	0	0	0	0	651	159	416	14	342	14	153	30	47	60	141	26	88	214	10	3
406	0	AV. EDISÓN  1505	414876.777777777778	44	1	1	0	1	1	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
406	1	Av. Edison  1232	342090.384615384615	44	1	5	0	1	0	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
255	22	AV.PIACENTINI  1456	309813.666666666667	44	1	0	0	0	1	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
73	10	Seitor 1175 Bº METALURGICO	497906.555555555556	44	1	0	0	0	0	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
196	0	QTA. 4  Pc. 9 U.F. 6 .B°.GUIRALDES	2051893.222222222222	44	1	1	0	0	0	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
513	0	AV. EDISON  1057- Bº INDEPENDENCIA	1032278.111111111111	30	1	3	0	1	0	1532	230	1099	119	437	92	336	23	519	35	600	21	132	133	3	6
396	0	AV. EDISON  725   VILLA CENTENARIO	1083876.277777777778	30	1	1	0	0	0	1532	230	1099	119	437	92	336	23	519	35	600	21	132	133	3	6
352	32	FORTIN WARNES 842	223472.944444444444	34	1	0	1	0	0	1110	283	644	82	506	26	344	28	375	61	342	41	72	107	0	4
594	1	SOLDADO AQUILERA ESQUINA AV. CHACO	1040124.611111111111	3	1	2	0	0	0	1223	298	770	59	567	55	319	32	303	83	454	35	81	134	5	9
255	17	FORTIN RIVADAVIA  1531	68545.166666666667	71	1	2	0	0	0	1043	335	527	26	438	37	254	29	397	119	262	61	28	24	1	9
396	3	LISANDRO DE LA TORRE  2285	660450.222222222222	28	1	0	0	0	0	986	281	575	46	431	24	291	33	396	16	325	11	46	47	1	13
311	10	AV. SOBERANIA NACIONAL  842	760767.000000000000	28	1	0	0	0	0	1002	258	598	51	419	39	318	29	384	30	356	16	42	63	0	7
396	1	JUAN DE DIOS MENA  2073	181644.166666666667	28	1	1	0	0	0	1002	258	598	51	419	39	318	29	384	30	356	16	42	63	0	7
607	8	AV. CHACO  638	562117.055555555556	5	1	0	0	0	0	1314	336	812	56	578	38	401	45	360	66	501	38	117	98	0	4
406	2	AV. PIACENTINI  1245	215539.000000000000	4	1	0	0	0	0	1213	260	800	39	603	58	303	38	251	82	366	42	107	254	11	2
216	24	ENRIQUE LARRETA  105 (MZ. 135 - PC. 05	340973.555555555556	25	1	0	0	0	0	1103	291	664	47	530	33	292	37	317	32	406	12	75	138	7	9
352	12	AV.SAN MARTIN 2215	560284.888888888889	39	1	0	0	0	1	1059	269	639	54	436	28	358	34	362	20	410	14	38	79	0	10
352	20	AV.SAN MARTIN 2099	677341.277777777778	39	1	0	0	0	1	1059	269	639	54	436	28	358	34	362	20	410	14	38	79	0	10
352	34	JOSÉ MARÍA PAZ  538	40348.333333333333	36	1	0	0	0	0	1311	345	803	58	663	22	329	51	498	26	442	9	58	107	5	12
216	0	AV. ALBERDI 2240	938062.611111111111	36	1	1	0	1	0	1311	345	803	58	663	22	329	51	498	26	442	9	58	107	5	12
537	0	JULIO ACOSTA  2644- VILLA DON ANDRES	874947.388888888889	102	1	0	0	0	0	1376	456	722	28	571	33	306	65	555	47	436	19	30	34	0	8
216	20	AV. SAN MARTIN N` 1959	472650.611111111111	16	1	0	0	0	0	923	292	532	13	431	33	196	42	261	25	336	15	66	92	4	6
1	4	AV.S. MARTIN 1226	264915.833333333333	16	1	0	0	0	0	923	292	532	13	431	33	196	42	261	25	336	15	66	92	4	6
318	7	Av. San Martín  2675	294984.400000000000	16	1	0	0	0	0	923	292	532	13	431	33	196	42	261	25	336	15	66	92	4	6
311	9	Necochea  2518	143697.500000000000	56	1	0	0	0	0	1491	457	804	54	604	56	412	56	554	106	474	21	70	60	1	8
318	0	AV ALBERDI N 2543	1044924.611111111111	56	1	0	1	0	0	1491	457	804	54	604	56	412	56	554	106	474	21	70	60	1	8
628	0	AV. BELGRANO  1802	760901.944444444444	20	1	3	0	0	0	871	205	541	56	477	21	190	27	249	18	299	8	68	138	4	1
202	0	NECOCHEA  1658	94844.470588235294	20	1	1	1	0	0	871	205	541	56	477	21	190	27	249	18	299	8	68	138	4	1
318	2	AV. LAS HERAS 2665	1241405.555555555556	70	1	2	0	0	0	1009	319	572	12	493	29	191	40	331	80	380	9	31	27	3	4
635	6	ROQUE SAENZ PEÑA  1548	76598.944444444444	79	0	0	0	0	0	1041	416	483	5	396	27	203	45	471	27	301	15	15	13	0	1
318	6	HAITI N` 25	709229.666666666667	69	1	0	0	0	0	1271	492	579	12	451	53	328	59	454	129	405	16	16	21	0	24
635	3	AV. CASTELLI  228	41155.333333333333	6	1	2	0	0	0	576	88	400	68	350	9	138	15	65	17	129	7	66	243	11	4
600	2	SAN LORENZO  896	240138.142857142857	43	1	1	0	0	0	628	83	451	77	337	24	216	11	82	4	134	9	68	291	6	3
437	8	SAN LORENZO  896	265675.000000000000	43	1	1	0	0	0	628	83	451	77	337	24	216	11	82	4	134	9	68	291	6	3
352	2	AV.CASTELLI 602	130494.833333333333	43	1	1	0	0	0	628	83	451	77	337	24	216	11	82	4	134	9	68	291	6	3
352	31	Av. San Martin  927	513005.222222222222	43	1	0	0	0	0	628	83	451	77	337	24	216	11	82	4	134	9	68	291	6	3
580	2	José María Paz  1081	98055.750000000000	30	0	0	0	0	0	1176	196	795	106	605	31	368	20	213	35	342	25	135	331	19	3
563	0	AV. MARCONI  565	624231.222222222222	27	1	0	0	0	0	663	126	451	41	394	10	152	23	120	32	210	19	73	157	5	0
487	2	CARLOS GARDEL  540	64254.285714285714	27	1	0	0	0	0	663	126	451	41	394	10	152	23	120	32	210	19	73	157	5	0
600	1	AV. BELGRANO  1010	1722838.214285714286	6	1	0	0	0	0	701	163	435	49	362	22	188	16	191	11	236	15	62	124	3	3
437	0	AV BELGRANO N` 721 LOCAL 2 PB	735607.055555555556	6	1	0	0	0	0	701	163	435	49	362	22	188	16	191	11	236	15	62	124	3	3
437	7	AV. BELGRANO  1010	535743.400000000000	6	1	0	0	0	0	701	163	435	49	362	22	188	16	191	11	236	15	62	124	3	3
583	2	CARLOS GARDEL  135	72566.333333333333	5	0	0	0	0	0	620	119	411	51	315	22	184	13	115	17	193	15	87	145	6	5
583	1	AV. ALBERDI  1235	192570.166666666667	5	1	0	0	0	0	620	119	411	51	315	22	184	13	115	17	193	15	87	145	6	5
216	22	AV. SAN MARTIN  1701	850180.722222222222	24	1	0	0	0	0	1056	261	623	73	475	29	319	39	291	44	330	37	79	152	10	3
352	9	ARBO Y BLANCO 1794	230296.500000000000	24	1	0	0	0	0	1056	261	623	73	475	29	319	39	291	44	330	37	79	152	10	3
635	5	ROQUE SAENZ PEÑA  1705	194596.444444444444	24	1	0	0	0	0	1056	261	623	73	475	29	319	39	291	44	330	37	79	152	10	3
7	9	AV. ALBERDI 981	39763.461538461538	5	1	0	0	0	0	694	128	475	55	399	14	170	25	88	10	162	12	66	272	26	3
635	10	AV. ALBERDI  981	40752.333333333333	5	1	0	0	0	0	694	128	475	55	399	14	170	25	88	10	162	12	66	272	26	3
631	0	AV. MARCONI  132	251744.600000000000	22	1	2	0	1	0	664	157	419	44	353	23	155	24	125	13	224	5	50	168	5	3
583	0	AV. ALBERDI  1554	510508.055555555556	22	1	1	0	1	0	664	157	419	44	353	23	155	24	125	13	224	5	50	168	5	3
352	33	Av. San Martín  1400 - Esq. Seitor	658258.823529411765	37	1	0	0	1	0	617	125	408	49	306	18	198	19	82	43	157	23	58	201	11	0
355	18	JULIO A. ROCA  720	204242.166666666667	1	1	1	0	0	4	434	64	287	66	225	6	149	12	56	6	86	6	73	169	9	0
673	0	Av. Hernandarias  718	152858.000000000000	1	1	1	0	0	7	434	64	287	66	225	6	149	12	56	6	86	6	73	169	9	0
671	0	AV. HERNANDARIAS  2900	132663.666666666667	1	1	1	0	0	7	434	64	287	66	225	6	149	12	56	6	86	6	73	169	9	0
355	0	"25 DE MAYO 811"	786872.111111111111	1	1	1	0	0	4	434	64	287	66	225	6	149	12	56	6	86	6	73	169	9	0
83	0	BELGRANO 387	1241854.833333333333	2	1	3	0	0	3	543	69	377	74	293	12	156	7	53	7	150	8	53	222	25	1
599	0	JUAN D. PERON  471	458187.500000000000	2	1	0	0	0	2	543	69	377	74	293	12	156	7	53	7	150	8	53	222	25	1
636	0	Julio A. Roca  426	803202.750000000000	2	1	1	0	0	3	543	69	377	74	293	12	156	7	53	7	150	8	53	222	25	1
343	7	PEYRREDÓN  101	790333.777777777778	30	1	0	0	0	2	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
205	0	NECOCHEA 297	420044.111111111111	30	0	1	0	0	2	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
239	0	SALTA  15	969900.333333333333	30	1	0	0	0	7	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
298	0	NECOCHEA  11	329901.833333333333	30	1	0	0	1	5	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
647	0	AV. ALBERDI  2117	566812.875000000000	30	1	0	0	0	7	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
635	2	SANTA MARIA DE ORO  424	82950.555555555556	30	1	0	0	0	5	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
216	25	Av. Alberdi  1815	413456.846153846154	30	1	0	0	0	7	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
343	0	GRAL VEDIA  121	545454.333333333333	30	1	5	0	0	3	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
445	0	VEDIA  274	438729.777777777778	30	0	0	0	0	1	639	120	413	64	356	16	142	29	97	13	143	11	68	235	16	3
7	15	AV. HERNANDARIAS  499	327544.692307692308	1	1	0	0	0	1	620	125	380	64	300	13	186	17	105	19	158	13	60	210	12	7
637	6	AV. HERNANDARIAS  499	305277.333333333333	1	1	0	0	0	1	620	125	380	64	300	13	186	17	105	19	158	13	60	210	12	7
