"agencia"	"suba"	"direccion"	"reca_prom"	"nbi"	"avenida"	"escuelas"	"salud"	"supermercado"	"parada_bus"	"cantpersona"	"edad0a19"	"edad20a65"	"edad65mas"	"ocupado"	"desocupado"	"inactivo"	"Inicial"	"primario"	"egb"	"secundario"	"polimodal"	"superior"	"universitario"	"postuniversitario"	"especial"
238	8	AV. MARCONI  2356	311733.777777777778	37	1	0	0	0	0	927	237	539	55	410	27	256	31	312	82	304	30	46	50	4	0
330	2	A. JAURECHE 134 V.DON ENRIQUE	376144.666666666667	5	1	0	0	0	0	974	181	600	132	455	17	321	26	206	46	345	24	93	160	8	4
627	0	CAPITAN PEDRO GIACHINO  1751	323711.833333333333	6	0	1	0	0	0	853	162	556	75	387	32	285	30	139	16	294	19	111	198	0	1
390	10	SAN LUIS  4	102311.833333333333	2	1	2	1	1	0	850	154	553	79	420	32	264	14	256	13	346	22	67	86	1	4
579	0	TERMINAL DE OMNIBUS (UF. 71 - PLANTA BAJ	663843.444444444444	3	1	0	0	0	2	995	192	670	65	452	52	327	23	237	26	407	15	119	105	3	5
355	16	PASAJE J. D. PERON  3020	491422.000000000000	36	0	0	0	0	0	1029	310	567	36	413	36	229	38	389	25	299	30	89	51	1	5
165	27	SANTIAGO DEL ESTERO  3330	441976.833333333333	19	0	0	1	0	0	710	148	446	76	353	20	219	19	175	14	246	17	79	102	7	4
165	0	AV. 25 DE MAYO 1719	704638.111111111111	19	1	0	0	1	1	710	148	446	76	353	20	219	19	175	14	246	17	79	102	7	4
516	0	SALTA  2285	2090647.000000000000	42	1	0	0	2	0	1145	254	720	76	561	25	308	35	427	16	402	19	49	96	1	3
663	0	FRAY BERTACA  2360	704481.666666666667	42	0	0	0	0	0	1145	254	720	76	561	25	308	35	427	16	402	19	49	96	1	3
272	8	SANTIAGO DEL ESTERO N. 2912 SAN JAVIER	50685.722222222222	42	0	1	0	0	0	1145	254	720	76	561	25	308	35	427	16	402	19	49	96	1	3
321	2	AV. MORENO  3045	212716.333333333333	32	0	0	0	0	0	995	244	586	69	472	49	240	30	394	24	348	13	38	65	1	5
527	0	AV. ISRAEL  824 - RUTA 11 KM 1004	1268558.055555555556	32	1	0	0	0	0	995	244	586	69	472	49	240	30	394	24	348	13	38	65	1	5
325	7	AV. ALVEAR  2290	838692.277777777778	51	1	0	0	0	0	1033	239	613	81	590	23	198	25	495	29	283	23	51	55	0	2
325	1	MENDOZA 2180 V.PEGORARO	227377.000000000000	51	1	0	0	0	0	1033	239	613	81	590	23	198	25	495	29	283	23	51	55	0	2
325	2	AV. ALVEAR  1900	456084.944444444444	14	1	4	0	0	2	579	93	374	81	314	6	182	12	190	18	198	16	51	56	1	3
272	1	JUJUY 2800	284202.666666666667	23	0	0	0	0	0	707	196	392	42	275	20	225	16	289	27	208	5	48	43	1	3
321	1	PJE.ROLDAN n°3018(B° 100 VVIENDAS)	9358.4666666666666667	64	0	0	0	0	0	1424	439	802	31	679	46	281	69	476	74	471	48	67	90	1	12
272	0	AV. ALVEAR  2901	2949140.111111111111	64	1	0	0	0	0	1424	439	802	31	679	46	281	69	476	74	471	48	67	90	1	12
272	11	Sierras de Córdoba  1127	875612.900000000000	7	0	0	0	0	0	955	239	606	25	501	45	213	35	219	35	334	40	93	118	9	5
420	6	RIACHO TATANÉ  2685	169525.000000000000	7	1	0	0	0	0	425	117	249	6	183	11	109	20	109	11	173	9	37	31	1	0
321	0	AV. ALVEAR 2695	625781.444444444444	14	1	0	0	0	1	531	135	323	30	245	22	150	19	209	22	137	28	27	43	1	5
351	0	MARTIN LESTANI  2802 V. BARBERAN	882197.388888888889	10	0	2	0	0	2	493	143	285	21	239	28	111	23	163	28	173	28	29	16	0	5
351	4	ISLA DEL CERRITO  2924 - Vª BARBERAN	53584.500000000000	17	0	2	0	0	0	1042	306	593	33	468	38	254	34	309	81	371	35	57	53	0	1
159	5	N.ROJAS ACOSTA 746	310515.888888888889	66	1	2	0	0	0	1613	501	877	34	777	53	270	73	536	121	461	35	76	120	11	6
590	1	MONTEAGUDO  1805	87501.500000000000	1	1	0	0	1	1	1277	339	780	41	687	26	265	59	193	65	304	61	126	378	31	1
590	0	AV. ITALIA  2215	1044541.555555555556	34	1	0	0	0	0	1897	597	1056	42	943	36	393	93	469	185	467	76	130	284	27	9
431	4	ASUNCION N` 680	617507.888888888889	30	1	0	0	0	0	899	274	526	17	342	15	120	33	283	42	210	13	49	109	13	9
359	7	AV. SABIN  486	542420.055555555556	123	1	0	0	0	3	1319	463	655	21	576	13	247	61	620	13	375	8	25	31	3	3
164	1	AV SABIN  1200 - Vº RIO NEGRO	849402.444444444444	123	1	0	0	0	2	1319	463	655	21	576	13	247	61	620	13	375	8	25	31	3	3
430	0	NAZARENO ROSIANI N` 1035	984365.333333333333	103	0	0	0	0	0	1763	637	847	28	685	56	426	65	868	111	378	50	10	12	1	7
355	5	JUAN MANUEL FANGIO  3500	610183.166666666667	19	0	0	0	0	0	532	144	307	23	249	16	141	17	204	12	169	20	18	37	5	3
359	6	ANTONIO MARTINA  1600 - VILLA RIO NEGR	114863.611111111111	19	0	0	0	0	0	532	144	307	23	249	16	141	17	204	12	169	20	18	37	5	3
682	0	MZ. 3 - PC. 13 - CH. 102 - Bº 100 VIVIEN	132845.000000000000	3	1	0	0	0	0	456	155	261	5	234	8	60	26	89	21	130	7	55	71	0	0
255	0	MZ.57 PC.10 B.LLAPONAGAT	754114.666666666667	14	1	2	0	1	0	1141	283	692	36	571	34	272	36	283	43	323	20	121	231	10	7
645	0	CARLOS DODERO  1675	1118955.764705882353	14	1	0	0	1	0	1141	283	692	36	571	34	272	36	283	43	323	20	121	231	10	7
255	7	AV. CHACO  1349	283123.416666666667	6	1	0	0	0	2	1157	285	731	32	556	38	314	35	178	75	370	40	142	251	7	2
336	0	AV. EDISON 324	1721858.444444444444	31	1	2	0	0	1	1040	358	509	26	398	33	287	32	491	37	275	9	16	44	2	7
396	4	AV. EDISON  610	347386.250000000000	31	1	2	0	0	1	1040	358	509	26	398	33	287	32	491	37	275	9	16	44	2	7
244	11	AV. EDISON  1699	506054.722222222222	34	1	1	0	1	1	1317	466	643	24	559	51	316	48	590	72	390	20	34	26	1	8
